"DisplayName","Name","Installed"
"File and Storage Services","FileAndStorage-Services","True"
"File and iSCSI Services","File-Services","True"
"File Server","FS-FileServer","True"
"Storage Services","Storage-Services","True"
"Web Server (IIS)","Web-Server","True"
"Web Server","Web-WebServer","True"
"Common HTTP Features","Web-Common-Http","True"
"Default Document","Web-Default-Doc","True"
"Directory Browsing","Web-Dir-Browsing","True"
"HTTP Errors","Web-Http-Errors","True"
"Static Content","Web-Static-Content","True"
"Health and Diagnostics","Web-Health","True"
"HTTP Logging","Web-Http-Logging","True"
"Performance","Web-Performance","True"
"Static Content Compression","Web-Stat-Compression","True"
"Security","Web-Security","True"
"Request Filtering","Web-Filtering","True"
"Basic Authentication","Web-Basic-Auth","True"
"Windows Authentication","Web-Windows-Auth","True"
"Application Development","Web-App-Dev","True"
".NET Extensibility 4.8","Web-Net-Ext45","True"
"ASP.NET 4.8","Web-Asp-Net45","True"
"ISAPI Extensions","Web-ISAPI-Ext","True"
"ISAPI Filters","Web-ISAPI-Filter","True"
"Management Tools","Web-Mgmt-Tools","True"
"IIS Management Console","Web-Mgmt-Console","True"
"IIS 6 Management Compatibility","Web-Mgmt-Compat","True"
"IIS 6 Metabase Compatibility","Web-Metabase","True"
"IIS Management Scripts and Tools","Web-Scripting-Tools","True"
"Management Service","Web-Mgmt-Service","True"
".NET Framework 3.5 Features","NET-Framework-Features","True"
".NET Framework 3.5 (includes .NET 2.0 and 3.0)","NET-Framework-Core","True"
".NET Framework 4.8 Features","NET-Framework-45-Features","True"
".NET Framework 4.8","NET-Framework-45-Core","True"
"ASP.NET 4.8","NET-Framework-45-ASPNET","True"
"WCF Services","NET-WCF-Services45","True"
"HTTP Activation","NET-WCF-HTTP-Activation45","True"
"TCP Port Sharing","NET-WCF-TCP-PortSharing45","True"
"SNMP Tools","RSAT-SNMP","True"
"SNMP Service","SNMP-Service","True"
"Windows PowerShell","PowerShellRoot","True"
"Windows PowerShell 5.1","PowerShell","True"
"Windows PowerShell 2.0 Engine","PowerShell-V2","True"
"Windows Process Activation Service","WAS","True"
"Process Model","WAS-Process-Model","True"
"Configuration APIs","WAS-Config-APIs","True"
"WoW64 Support","WoW64-Support","True"
"XPS Viewer","XPS-Viewer","True"
